Archivo,Tamaño del Arreglo,Tiempo Merge Sort (µs),Tiempo Shell Sort (µs),Comparaciones Merge Sort,Intercambios Merge Sort,Comparaciones Shell Sort,Intercambios Shell Sort
arreglo1.csv,10000,998,997,69008,64608,0,119992
arreglo2.csv,10000,1036,0,69008,64608,0,119992
arreglo3.csv,10000,1994,0,69008,64608,0,119992
arreglo4.csv,10000,997,0,69008,64608,0,119992
arreglo5.csv,10000,998,959,69008,64608,0,119992
arreglo6.csv,10000,997,997,69008,64608,0,119992
arreglo7.csv,10000,997,0,69008,64608,0,119992
arreglo8.csv,10000,999,0,69008,64608,0,119992
arreglo9.csv,10000,998,997,69008,64608,0,119992
arreglo10.csv,10000,2034,0,69008,64608,0,119992
arreglo11.csv,10000,997,997,69008,64608,0,119992
arreglo12.csv,10000,997,997,69008,64608,0,119992
arreglo13.csv,10000,997,997,69008,64608,0,119992
arreglo14.csv,10000,1157,1038,69008,64608,0,119992
arreglo15.csv,10000,998,997,69008,64608,0,119992
arreglo16.csv,10000,998,997,69008,64608,0,119992
arreglo17.csv,10000,994,0,69008,64608,0,119992
arreglo18.csv,10000,958,1037,69008,64608,0,119992
arreglo19.csv,10000,998,997,69008,64608,0,119992
arreglo20.csv,10000,1000,0,69008,64608,0,119992
arreglo21.csv,10000,996,1030,69008,64608,0,119992
arreglo22.csv,10000,998,997,69008,64608,0,119992
arreglo23.csv,10000,996,0,69008,64608,0,119992
arreglo24.csv,10000,997,997,69008,64608,0,119992
arreglo25.csv,10000,999,0,69008,64608,0,119992
arreglo26.csv,10000,997,0,69008,64608,0,119992
arreglo27.csv,10000,1261,1040,69008,64608,0,119992
arreglo28.csv,10000,997,0,69008,64608,0,119992
arreglo29.csv,10000,994,998,69008,64608,0,119992
arreglo30.csv,10000,996,0,69008,64608,0,119992
