Archivo,Tamaño del Arreglo,Tiempo Merge Sort (µs),Tiempo Shell Sort (µs),Comparaciones Merge Sort,Intercambios Merge Sort,Comparaciones Shell Sort,Intercambios Shell Sort
arreglo1.csv,100000,15194,10932,878249,790679,718358,2218348
arreglo2.csv,100000,14962,9973,878157,790771,718517,2218507
arreglo3.csv,100000,13965,11056,878413,790515,718638,2218628
arreglo4.csv,100000,14247,9972,878202,790726,718541,2218531
arreglo5.csv,100000,14079,9974,877863,791065,718459,2218449
arreglo6.csv,100000,14002,9976,878140,790788,718507,2218497
arreglo7.csv,100000,13962,9974,877981,790947,718470,2218460
arreglo8.csv,100000,13963,10041,878176,790752,718633,2218623
arreglo9.csv,100000,13960,9975,878087,790841,718673,2218663
arreglo10.csv,100000,16071,9973,878058,790870,718444,2218434
arreglo11.csv,100000,13962,10014,877949,790979,718360,2218350
arreglo12.csv,100000,13994,9969,877869,791059,718396,2218386
arreglo13.csv,100000,13924,11011,878272,790656,718288,2218278
arreglo14.csv,100000,14961,11152,877816,791112,718453,2218443
arreglo15.csv,100000,14098,10652,878501,790427,718524,2218514
arreglo16.csv,100000,14959,9972,878289,790639,718564,2218554
arreglo17.csv,100000,13912,10963,878247,790681,718428,2218418
arreglo18.csv,100000,13961,9934,878024,790904,718264,2218254
arreglo19.csv,100000,13963,10968,878270,790658,718360,2218350
arreglo20.csv,100000,14084,10482,877940,790988,718484,2218474
arreglo21.csv,100000,13962,9972,878078,790850,718627,2218617
arreglo22.csv,100000,14508,9972,877523,791405,718653,2218643
arreglo23.csv,100000,13947,9973,877930,790998,718402,2218392
arreglo24.csv,100000,13919,10970,877820,791108,718354,2218344
arreglo25.csv,100000,14064,9642,878125,790803,718572,2218562
arreglo26.csv,100000,14102,9974,878011,790917,718495,2218485
arreglo27.csv,100000,13960,9975,878232,790696,718483,2218473
arreglo28.csv,100000,13921,10017,878115,790813,718862,2218852
arreglo29.csv,100000,14099,10131,877869,791059,718402,2218392
arreglo30.csv,100000,13963,9975,877932,790996,718529,2218519
