Archivo,Tamaño del Arreglo,Tiempo Merge Sort (µs),Tiempo Shell Sort (µs),Comparaciones Merge Sort,Intercambios Merge Sort,Comparaciones Shell Sort,Intercambios Shell Sort
arreglo1.csv,1000,0,1165,8698,1278,7656,15653
arreglo2.csv,1000,1032,0,8704,1272,7534,15531
arreglo3.csv,1000,0,0,8711,1265,7512,15509
arreglo4.csv,1000,0,0,8691,1285,6897,14894
arreglo5.csv,1000,0,0,8703,1273,7565,15562
arreglo6.csv,1000,0,0,8678,1298,7250,15247
arreglo7.csv,1000,0,0,8701,1275,7100,15097
arreglo8.csv,1000,997,0,8696,1280,7492,15489
arreglo9.csv,1000,0,1038,8722,1254,7696,15693
arreglo10.csv,1000,0,0,8700,1276,7330,15327
arreglo11.csv,1000,0,0,8705,1271,7032,15029
arreglo12.csv,1000,0,0,8704,1272,6805,14802
arreglo13.csv,1000,0,0,8654,1322,8347,16344
arreglo14.csv,1000,1035,0,8724,1252,7000,14997
arreglo15.csv,1000,0,989,8723,1253,7420,15417
arreglo16.csv,1000,0,0,8705,1271,6930,14927
arreglo17.csv,1000,0,0,8714,1262,7074,15071
arreglo18.csv,1000,0,0,8734,1242,7206,15203
arreglo19.csv,1000,1029,0,8699,1277,8050,16047
arreglo20.csv,1000,0,966,8698,1278,6971,14968
arreglo21.csv,1000,0,0,8678,1298,7291,15288
arreglo22.csv,1000,0,0,8715,1261,7236,15233
arreglo23.csv,1000,0,0,8718,1258,7097,15094
arreglo24.csv,1000,1023,0,8687,1289,8518,16515
arreglo25.csv,1000,0,997,8715,1261,7865,15862
arreglo26.csv,1000,0,0,8726,1250,6971,14968
arreglo27.csv,1000,0,0,8667,1309,8022,16019
arreglo28.csv,1000,0,0,8729,1247,7349,15346
arreglo29.csv,1000,1030,0,8710,1266,7209,15206
arreglo30.csv,1000,0,994,8669,1307,7099,15096
