Archivo,Tamaño del Arreglo,Tiempo Merge Sort (µs),Tiempo Shell Sort (µs),Comparaciones Merge Sort,Intercambios Merge Sort,Comparaciones Shell Sort,Intercambios Shell Sort
arreglo1.csv,10000,2009,0,67268,66348,57876,177868
arreglo2.csv,10000,997,998,67205,66411,57882,177874
arreglo3.csv,10000,998,997,67215,66401,57878,177870
arreglo4.csv,10000,1041,996,67209,66407,57893,177885
arreglo5.csv,10000,998,1047,67268,66348,57867,177859
arreglo6.csv,10000,996,1001,67265,66351,57863,177855
arreglo7.csv,10000,999,996,67246,66370,57883,177875
arreglo8.csv,10000,997,1000,67230,66386,57893,177885
arreglo9.csv,10000,998,997,67279,66337,57853,177845
arreglo10.csv,10000,998,1002,67237,66379,57894,177886
arreglo11.csv,10000,999,995,67377,66239,57867,177859
arreglo12.csv,10000,998,997,67252,66364,57909,177901
arreglo13.csv,10000,997,0,67259,66357,57904,177896
arreglo14.csv,10000,998,998,67316,66300,57877,177869
arreglo15.csv,10000,1006,991,67224,66392,57890,177882
arreglo16.csv,10000,1995,0,67189,66427,57904,177896
arreglo17.csv,10000,998,997,67313,66303,57857,177849
arreglo18.csv,10000,997,997,67284,66332,57889,177881
arreglo19.csv,10000,1995,0,67299,66317,57871,177863
arreglo20.csv,10000,997,997,67237,66379,57893,177885
arreglo21.csv,10000,1996,1037,67267,66349,57880,177872
arreglo22.csv,10000,998,997,67235,66381,57899,177891
arreglo23.csv,10000,1994,0,67293,66323,57883,177875
arreglo24.csv,10000,997,1197,67254,66362,57889,177881
arreglo25.csv,10000,998,997,67208,66408,57892,177884
arreglo26.csv,10000,998,997,67363,66253,57879,177871
arreglo27.csv,10000,2034,0,67265,66351,57897,177889
arreglo28.csv,10000,1995,0,67198,66418,57879,177871
arreglo29.csv,10000,2039,0,67243,66373,57875,177867
arreglo30.csv,10000,992,1002,67308,66308,57907,177899
